epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,5311.55,1.32197,1.34286,0.06422,0.08752,0.69011,0.45015,0.51457,0.33304,1.48861,2.03515,0.02482,0.11005,0.0008812,0.0008812,0.0008812
38,5466.39,1.30649,1.28297,0.06298,0.09463,0.67392,0.43801,0.50362,0.32539,1.5315,2.03509,0.02481,0.12699,0.0008779,0.0008779,0.0008779
39,5616.83,1.30831,1.2863,0.06106,0.08627,0.77026,0.38368,0.48766,0.31998,1.51911,2.04083,0.02421,0.12496,0.0008746,0.0008746,0.0008746
40,5763.44,1.33817,1.28191,0.06003,0.08799,0.84103,0.38231,0.48564,0.31589,1.51375,2.09455,0.02566,0.13788,0.0008713,0.0008713,0.0008713
41,5908.11,1.35042,1.37316,0.05914,0.0982,0.77191,0.42337,0.49064,0.32266,1.52239,2.04366,0.02419,0.13147,0.000868,0.000868,0.000868
42,6064.74,1.33507,1.26057,0.05704,0.0987,0.57313,0.50498,0.51657,0.32661,1.53416,1.97296,0.02424,0.12695,0.0008647,0.0008647,0.0008647
43,6246.72,1.31731,1.35411,0.05931,0.08364,0.64995,0.50109,0.54671,0.32368,1.55189,2.01398,0.02616,0.12371,0.0008614,0.0008614,0.0008614
44,6400.76,1.30479,1.29635,0.06149,0.09757,0.61992,0.5305,0.53206,0.3221,1.55841,2.08569,0.02385,0.15025,0.0008581,0.0008581,0.0008581
45,6551.77,1.28752,1.27127,0.05756,0.0904,0.70151,0.52201,0.55769,0.33702,1.61233,2.06961,0.02591,0.14788,0.0008548,0.0008548,0.0008548
46,6705.45,1.35731,1.34784,0.06549,0.08409,0.69205,0.54613,0.5806,0.34299,1.62777,1.86931,0.02517,0.12915,0.0008515,0.0008515,0.0008515
47,6865.14,1.31652,1.31528,0.06239,0.08792,0.5303,0.57313,0.59534,0.35407,1.57987,1.82165,0.02329,0.12191,0.0008482,0.0008482,0.0008482
48,7014.29,1.27814,1.25505,0.06461,0.0869,0.70574,0.47105,0.5565,0.317,1.60221,1.89786,0.02472,0.1318,0.0008449,0.0008449,0.0008449
49,7163.66,1.30282,1.23916,0.05724,0.08291,0.58514,0.48233,0.53861,0.32183,1.57975,1.99036,0.0254,0.13756,0.0008416,0.0008416,0.0008416
50,7312.94,1.33087,1.30547,0.05483,0.08492,0.73125,0.493,0.57585,0.34373,1.61591,1.89267,0.02657,0.13463,0.0008383,0.0008383,0.0008383
51,7460.73,1.31711,1.26091,0.05778,0.08099,0.69802,0.55315,0.56547,0.34065,1.58808,1.93064,0.02582,0.12895,0.000835,0.000835,0.000835
52,7619.43,1.30333,1.21305,0.05362,0.08575,0.68915,0.4921,0.54925,0.3263,1.57587,1.93868,0.0258,0.13814,0.0008317,0.0008317,0.0008317
53,7774.61,1.23893,1.13327,0.05607,0.08339,0.80809,0.49429,0.60365,0.35935,1.57269,1.77488,0.02587,0.14701,0.0008284,0.0008284,0.0008284
54,7923.7,1.27685,1.1716,0.05866,0.08278,0.64089,0.5439,0.6052,0.36435,1.55773,1.74256,0.02552,0.14522,0.0008251,0.0008251,0.0008251
55,8069.18,1.26354,1.16558,0.05975,0.07729,0.62276,0.5431,0.59008,0.35861,1.54935,1.77482,0.02596,0.1384,0.0008218,0.0008218,0.0008218
56,8218.64,1.26149,1.17437,0.06188,0.08276,0.60073,0.57014,0.573,0.34394,1.59989,1.88419,0.02681,0.13544,0.0008185,0.0008185,0.0008185
57,8364.92,1.25598,1.11638,0.06065,0.08194,0.73798,0.49715,0.58435,0.34697,1.56808,1.93649,0.02553,0.11622,0.0008152,0.0008152,0.0008152
58,8511.65,1.30278,1.20582,0.0584,0.0809,0.66853,0.54664,0.59919,0.36516,1.60408,1.76032,0.02529,0.12223,0.0008119,0.0008119,0.0008119
59,8659.48,1.25182,1.15529,0.06022,0.0791,0.57039,0.5391,0.56968,0.35116,1.53629,1.82249,0.02435,0.11851,0.0008086,0.0008086,0.0008086
60,8806.02,1.25446,1.17477,0.05315,0.08339,0.62318,0.53018,0.58692,0.35141,1.54131,1.78465,0.02435,0.12183,0.0008053,0.0008053,0.0008053
61,8958.89,1.25271,1.17335,0.05537,0.07322,0.73494,0.49488,0.56386,0.33862,1.59611,1.8166,0.02555,0.12396,0.000802,0.000802,0.000802
62,9107.91,1.23354,1.09114,0.056,0.08457,0.71811,0.53177,0.58784,0.35397,1.60195,1.82479,0.02613,0.12467,0.0007987,0.0007987,0.0007987
63,9253.79,1.24387,1.12028,0.05471,0.08254,0.7999,0.53246,0.5739,0.35246,1.60815,1.90082,0.0269,0.12232,0.0007954,0.0007954,0.0007954
64,9398.17,1.18256,1.08012,0.0603,0.07658,0.82285,0.45075,0.5664,0.35751,1.54461,1.8992,0.0254,0.10718,0.0007921,0.0007921,0.0007921
