epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,146.993,1.27225,1.20688,0.05797,0.09014,0.66098,0.40892,0.45486,0.28016,1.65582,2.04594,0.02892,0.07451,0.0008812,0.0008812,0.0008812
38,150.229,1.3129,1.22853,0.0585,0.0927,0.7408,0.34198,0.44429,0.26441,1.69802,2.12358,0.0302,0.07575,0.0008779,0.0008779,0.0008779
39,153.547,1.33138,1.27935,0.05781,0.08514,0.44379,0.48588,0.44319,0.28486,1.64112,2.07211,0.02721,0.07359,0.0008746,0.0008746,0.0008746
40,157.085,1.27638,1.22918,0.05603,0.0812,0.49367,0.45322,0.47518,0.27595,1.63731,2.10082,0.02733,0.06533,0.0008713,0.0008713,0.0008713
41,160.404,1.33051,1.25174,0.06037,0.09183,0.46196,0.4583,0.46033,0.272,1.7178,2.15707,0.02911,0.08844,0.000868,0.000868,0.000868
42,163.626,1.29798,1.21077,0.05749,0.08291,0.7171,0.38003,0.45659,0.27098,1.74172,2.31215,0.02932,0.08379,0.0008647,0.0008647,0.0008647
43,166.946,1.28968,1.24797,0.06459,0.08753,0.65292,0.35503,0.41317,0.25223,1.70516,2.30789,0.02898,0.07392,0.0008614,0.0008614,0.0008614
44,170.33,1.27981,1.23137,0.06572,0.08929,0.49728,0.53109,0.44838,0.2678,1.67455,2.17224,0.02867,0.0742,0.0008581,0.0008581,0.0008581
45,173.651,1.27033,1.1234,0.06429,0.08437,0.5186,0.50833,0.46955,0.27196,1.63829,2.17499,0.02821,0.07016,0.0008548,0.0008548,0.0008548
46,176.838,1.2897,1.15724,0.06337,0.08989,0.77136,0.35232,0.44259,0.27509,1.62074,2.23589,0.02623,0.05996,0.0008515,0.0008515,0.0008515
47,180.331,1.26093,1.1764,0.05735,0.07724,0.49858,0.5148,0.47197,0.28586,1.6226,2.08596,0.02741,0.06041,0.0008482,0.0008482,0.0008482
