epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,570.237,1.1341,0.88173,0.02602,0.08327,0.71076,0.64855,0.71292,0.49586,1.27836,1.41659,0.03808,0.10841,0.0008812,0.0008812,0.0008812
38,585.306,1.1008,0.86147,0.02433,0.07955,0.84281,0.62964,0.70066,0.4652,1.43004,1.54691,0.04137,0.14105,0.0008779,0.0008779,0.0008779
39,600.136,1.07574,0.81278,0.02417,0.07596,0.72378,0.69222,0.71138,0.50134,1.29128,1.47532,0.03643,0.14852,0.0008746,0.0008746,0.0008746
40,615.196,1.07598,0.83395,0.02451,0.08133,0.7431,0.65831,0.72653,0.50233,1.28438,1.36015,0.03809,0.10892,0.0008713,0.0008713,0.0008713
41,630.322,1.07838,0.81508,0.02506,0.07773,0.67936,0.68465,0.69602,0.49636,1.27845,1.4723,0.03752,0.09019,0.000868,0.000868,0.000868
42,645.196,1.09183,0.79572,0.02416,0.07494,0.77305,0.65861,0.7156,0.50696,1.28954,1.47836,0.03783,0.10162,0.0008647,0.0008647,0.0008647
43,660.3,1.06212,0.74798,0.02498,0.07224,0.74556,0.63467,0.70742,0.49431,1.28232,1.45454,0.03631,0.10693,0.0008614,0.0008614,0.0008614
44,675.165,1.0815,0.79118,0.02434,0.07972,0.86048,0.60636,0.71434,0.51408,1.24193,1.50126,0.03497,0.10696,0.0008581,0.0008581,0.0008581
45,690.268,1.07062,0.78639,0.02338,0.0708,0.71241,0.67448,0.70383,0.47848,1.30469,1.41731,0.03859,0.10642,0.0008548,0.0008548,0.0008548
46,705.18,1.08679,0.79106,0.02379,0.07684,0.86658,0.64408,0.74503,0.51455,1.33416,1.25775,0.03916,0.10891,0.0008515,0.0008515,0.0008515
47,720.329,1.06238,0.76179,0.02374,0.07476,0.81184,0.68828,0.73438,0.52786,1.23147,1.41474,0.03653,0.10023,0.0008482,0.0008482,0.0008482
48,735.407,1.03764,0.74719,0.02331,0.07125,0.87281,0.62238,0.72561,0.50512,1.29298,1.4213,0.03891,0.1087,0.0008449,0.0008449,0.0008449
49,750.257,1.05111,0.7413,0.02377,0.06973,0.77726,0.60519,0.67954,0.4648,1.33996,1.4526,0.04224,0.11957,0.0008416,0.0008416,0.0008416
50,765.118,1.01853,0.71345,0.02339,0.0711,0.75672,0.6407,0.7002,0.49602,1.27577,1.52282,0.03674,0.09005,0.0008383,0.0008383,0.0008383
51,779.947,1.04112,0.75244,0.02333,0.0657,0.71104,0.63486,0.68008,0.44135,1.32817,1.52819,0.03637,0.08822,0.000835,0.000835,0.000835
52,794.784,1.01529,0.75399,0.02275,0.06888,0.76983,0.63604,0.70703,0.48496,1.35731,1.33451,0.03637,0.1164,0.0008317,0.0008317,0.0008317
53,809.642,1.03647,0.75677,0.0237,0.06576,0.81435,0.59182,0.68037,0.49111,1.26405,1.52261,0.03495,0.12036,0.0008284,0.0008284,0.0008284
54,824.506,1.02936,0.71049,0.02352,0.06731,0.71438,0.68221,0.69144,0.48914,1.2554,1.53261,0.03903,0.11632,0.0008251,0.0008251,0.0008251
55,839.391,1.03856,0.72749,0.02319,0.06156,0.78769,0.68318,0.72195,0.48979,1.2548,1.47218,0.03529,0.12152,0.0008218,0.0008218,0.0008218
56,854.246,1.00603,0.71373,0.02342,0.0607,0.8336,0.6583,0.73735,0.54013,1.26873,1.41205,0.0356,0.1112,0.0008185,0.0008185,0.0008185
57,869.312,0.99748,0.71485,0.02373,0.06025,0.79612,0.67004,0.72736,0.51602,1.26132,1.46419,0.03525,0.11289,0.0008152,0.0008152,0.0008152
58,884.171,0.97687,0.7025,0.02272,0.06157,0.79248,0.65711,0.72511,0.52541,1.24913,1.40767,0.03525,0.10897,0.0008119,0.0008119,0.0008119
59,899.051,0.9864,0.69368,0.02204,0.05957,0.76181,0.69919,0.74894,0.53362,1.25148,1.2889,0.0363,0.10987,0.0008086,0.0008086,0.0008086
60,913.94,1.0045,0.69719,0.02462,0.06185,0.83618,0.6783,0.75418,0.52198,1.28493,1.34706,0.03814,0.10454,0.0008053,0.0008053,0.0008053
61,928.812,1.01599,0.71119,0.02437,0.06005,0.87052,0.62902,0.73395,0.49701,1.32246,1.47884,0.03803,0.13321,0.000802,0.000802,0.000802
62,943.614,0.96631,0.68695,0.02355,0.05401,0.86234,0.59487,0.73279,0.49509,1.32921,1.49046,0.03929,0.10763,0.0007987,0.0007987,0.0007987
63,958.397,0.98503,0.67933,0.0248,0.06022,0.81298,0.65717,0.70885,0.49914,1.2958,1.4739,0.03478,0.11512,0.0007954,0.0007954,0.0007954
64,973.24,0.99812,0.7201,0.02375,0.06212,0.74426,0.65351,0.70741,0.47503,1.35744,1.49871,0.03776,0.11575,0.0007921,0.0007921,0.0007921
65,988.044,0.95539,0.66211,0.02162,0.05458,0.75702,0.72728,0.73316,0.51707,1.257,1.26609,0.03653,0.11818,0.0007888,0.0007888,0.0007888
66,1002.89,0.97225,0.69323,0.02207,0.05996,0.65597,0.74541,0.75282,0.5253,1.25231,1.31858,0.03746,0.09527,0.0007855,0.0007855,0.0007855
67,1017.71,0.95972,0.67944,0.02261,0.05487,0.75873,0.69448,0.75866,0.51749,1.31644,1.32121,0.03789,0.12061,0.0007822,0.0007822,0.0007822
68,1032.51,0.94252,0.64612,0.02244,0.0549,0.81117,0.71436,0.77486,0.53544,1.32394,1.17758,0.03818,0.11826,0.0007789,0.0007789,0.0007789
69,1047.4,0.99873,0.69148,0.02466,0.05565,0.77067,0.70215,0.75764,0.54459,1.26357,1.17604,0.03628,0.11343,0.0007756,0.0007756,0.0007756
70,1062.51,0.9364,0.64675,0.02359,0.05126,0.87763,0.65213,0.72686,0.50572,1.26724,1.30461,0.03625,0.11072,0.0007723,0.0007723,0.0007723
71,1077.38,0.98116,0.66997,0.02285,0.05405,0.77138,0.63903,0.72331,0.49967,1.32265,1.41599,0.03697,0.12224,0.000769,0.000769,0.000769
72,1092.21,0.92828,0.60466,0.02307,0.05073,0.85512,0.64283,0.73807,0.51198,1.29856,1.22109,0.03766,0.1149,0.0007657,0.0007657,0.0007657
